ACT_FLOW_ITEM_DATA|新增用血申请单主表
DRU_BALANCE_DETAIL|新增药品结存细表
DRU_BALANCE_MANAGE_SUBJECT|新增药品结存主表
DRU_BALANCE_MASTER|新增药品结存主表
DRU_BALANCE_STORE|新增药品库存结存表
DRU_BALANCE_STORE_DAY|新增药品日结存库存记录表
DRU_CHANGE_USER_ALERT_LOG|新增药品信息变更用户提示记录表
DRU_COLLECTIVE_PURCHASE_DRUG_DEPT|科室部门代码
DRU_CONSERVE_DETAIL|插入货柜号
DRU_CONSERVE_MASTER|插入货柜号
DRU_CONSERVE_PLAN_DETAIL|新增养护计划主表
DRU_CONSERVE_PLAN_MASTER|新增养护计划主表
DRU_CONSERVE_PLAN_TASK|新增养护计划主表
DRU_CONTAINER_CONFIG|插入货柜号
DRU_CONTAINER_CONFIG_MASTER|插入货柜号
DRU_DRUG_ACCOUNT_BOOK|新增药品结存主表
DRU_DRUG_APPLY_MASTER|新增溶剂汇总发药主表
DRU_DRUG_BARCODE_USED_RECORD|新增门诊摆药表
DRU_DRUG_DELIVERY_RECORD_DETAI|批量插入药品配送记录细表
DRU_DRUG_DELIVERY_RECORD_MASTER|批量插入药品配送记录细表
DRU_DRUG_DIST_STORE|自动作废过期药品（药品库存）
DRU_DRUG_DIST_STORE_ARCHIVE|新增药品库存表
DRU_DRUG_INTERVENTION_INVENTORY|新增药品库存表
DRU_DRUG_IO_CLASS|新增药品结存细表
DRU_DRUG_IO_CLASS_DIST|查询药品出入库科室列表
DRU_DRUG_IO_DEPT_DIST|查询药品出入库科室列表
DRU_DRUG_IO_DETAIL|查询药品调价细表列表
DRU_DRUG_IO_MASTER|查询药品调价细表列表
DRU_DRUG_RATE_TYPE_CONFIG|获取职业安全用药已分发费别
DRU_DRUG_STORE|自动作废过期药品（药品库存）
DRU_DRUG_STORE_CALC_DAY|新增药品日结存库存记录表
DRU_INP_LAY_DRUG_COND_DETL|新增住院摆药池记录表
DRU_INP_LAY_DRUG_COND_MAST|批量插入药品配送记录细表
DRU_INP_LAY_DRUG_COND_TYPE|新增住院摆药条件明细表
DRU_INP_SEND_DRUG_RECORDS|按床位位置（楼层）过滤摆药池
DRU_LAY_PRINT_FAIL_RECORD|新增摆药单打印失败记录表
DRU_LAY_QUEUE_TYPE_LIST_DICT|插入门诊自助取药队列配置
DRU_MAILING_RECORD|插入邮寄信息
DRU_MEDICATION_DISPENSING_MACHINE|获取窗口
DRU_OUTP_AUTO_ACCEPT_LOG|新增门诊自动接单日志
DRU_OUTP_AUTO_ACCEPT_POOL|新增门诊发药记录
DRU_OUTP_AUTO_ACCEPT_RECORDS|新增门诊摆药自动接单记录
DRU_OUTP_AUTO_ACCEPT_SUB|新增门诊发药记录
DRU_OUTP_FB_WINDOW_BINDING|获取窗口
DRU_OUTP_FB_WINDOW_DFLT|获取窗口
DRU_OUTP_FRONT_SEND_DRUG_COND|获取窗口
DRU_OUTP_FRONT_SEND_DRUG_DFLT|获取窗口
DRU_OUTP_LAY_DRUG_CONDITION|获取窗口
DRU_OUTP_LAY_WINDOW_CONFIG|获取窗口
DRU_OUTP_SEND_DRUG_POOL|获取窗口
DRU_OUTP_SEND_DRUG_RECORDS|获取窗口
DRU_PAT_DRUG_ADJUST_DETAIL|查询药品调价细表列表
DRU_PAT_DRUG_ADJUST_MASTER|查询药品调价细表列表
DRU_PRES_BINDING_BASKET|搜索条件：状态为新开或已缴费并且在有效期内 or 已缴费并且已过期的
DRU_PURCHASE_DETAIL|新增药品采购细表
DRU_PURCHASE_MASTER|新增药品采购细表
DRU_PURCHASE_PLAN_DETAIL|新增中药规格字典
DRU_PURCHASE_PLAN_MASTER|新增中药规格字典
DRU_RATIONAL_CHECK_RESULT|按床位位置（楼层）过滤摆药池
DRU_RATIONAL_CHECK_RESULT_VIOW|新增合理用药审查结果记录
DRU_REMITTANCE_DETAIL|新增药品汇款单细表
DRU_REMITTANCE_MASTER|新增药品汇款单主表
DRU_SOLVENT_CONTRAST|新增库存单元分发
DRU_SPD_PURCHASE_CONTRAST|新增基本字典信息
DRU_SPECIAL_DRUG_CON_DETAIL|新增特殊药品分发配置细表
DRU_SPECIAL_DRUG_CON_MASTER|新增特殊药品分发配置主表
DRU_SPECIAL_DRUG_CON_TYPE|新增特殊药品分发配置类别
DRU_STORE_UNIT_CONFIG|新增药品采购计划细表
DRU_TAKE_STOCK_DETAIL|新增药品库存表
DRU_TRANSFUSION_RECEIVE_RECORD|新增溶剂汇总发药细表
DRU_TRANSFUSION_STORAGE_TABLE|新增溶剂汇总发药细表
DRU_USE_TEMPLATE_MASTER|批量新增 oracle
DRU_VARIETY_CONFIG|翻译字段
DRUG_MEDICINAL_HERB|批量新增特殊病种药品配置
DRUG_OUTP_MEDICINE_CONFIG|获取窗口
DRUG_OUTP_PRES_RB_RECORD|获取患者处方
DRUG_TRACE_CODE_UPLOAD_CAMPUS_CONFIG|翻译字段
DVP_ERROR_TASK_LIST|获取医生的报错列表
DVP_LOAD_BALANCER_INFO|获取负载均衡服务服务ID和
DVP_MACHINE_GLOBAL_PARAM|查询客户端全局参数配置列表
DVP_MACHINE_LOCAL_PARAM|更新客户端机器本地参数配置
DVP_MACHINE_REGISTER_INFO|查询客户端机器注册信息
DVP_SERVER_INFO|获取负载均衡服务服务ID和
DVP_SERVICE_INFO|获取负载均衡服务服务ID和
EMR_BASIC_INFO|新增日间手术主表
EMR_CONSULTATION_APPLY_RECORD|新增医嘱拟停止医嘱
EMR_CONSULTATION_RESPONSE|新增虚拟病房字典
EMR_DATA_MANAGE_RECORD|新增传染病登记主表
EMR_DISEASE_CARD_CONFIG|新增传染病登记主表
EMR_DRG_RESULT_RECORD|新增住院医保就诊登记
EMR_DUMP_ADMISSION_RECORD|通过病人id获取病人基本信息
EMR_DUMP_INP_RECORD_DIAG|新增住院摆药池记录表
EMR_DUMP_OUTPATIENT|新增门诊电子申请单
EMR_GRANT_AUTHORIZATION_RECORD|新增住院共享病人记录
EMR_IDES_DOCUMENT_INFO|新增门诊电子申请单
EMR_NON_STANDARD_DOC_BASIC_INFO|新增择日病人住院信息
EMR_NURSING_VITAL_SIGN|通过病人id获取病人基本信息
EMR_OPERATION_INDEX|新增手术记录表
EMR_OPERATION_RECORD|新增手术记录表
EMR_OUTP_RECORD|新增门诊电子申请单
EMR_PATIENT_CODE_RECORD|新增诊断
EMR_PATIENT_DE_VALUE|新增手术记录表
EMR_PATIENT_DIAG_RECORD|新增诊断
EMR_PATIENT_OPERATION_DIAG|新增诊断
ETPL_CNT_TPL_DIST|通过deptcode（OBJ_ID）查询病历内容模板分发信息
ETPL_PRIV_DIST|通过deptcode（OBJ_ID）查询病历内容模板分发信息
GCP_CONFIG_DETAIL|翻译字段
GCP_CONFIG_MASTER|拼音码过滤插叙
GCP_PATIENT_RECORD|通过病人id获取病人基本信息
IMP_DATA_TRANSFER_DICT|<p>标题: </p>
IMP_DATA_TRANSFER_DICT_DETAIL|<p>标题: </p>
IMP_DATA_TRANSFER_MAPPING_DETAIL|<p>标题: </p>
IMP_DATA_TRANSFER_MAPPING_MASTER|<p>标题: </p>
IMP_DATA_TRANSFER_PROJECT|<p>标题: </p>
IMP_DATA_TRANSFER_TASK|<p>标题: </p>
IMP_DATA_TRANSFER_TASK_SYNTAX|<p>标题: </p>
IMP_DATA_TRANSFER_TYPE|通用查询映射结果
IMP_DATA_VERIFY_RULE|<p>标题: 数据迁移二期迁移任务实体</p>
IMP_DATASOURCE_INFO|<p>标题: </p>
IMP_NEW_DATA_TRANSFER_DICTID_CONFIG|<p>标题: </p>
IMP_NEW_TASK_EXECUTE_LOG_DETAIL|执行日志细表id
IMP_NEW_TASK_EXECUTE_LOG_MASTER|执行日志id
IMP_NEW_TASK_RULE_RECORD|<p>标题: 数据迁移二期迁移任务规则分发记录实体</p>
IMP_NEW_TRANSFER_PLAN|方案id
IMP_NEW_TRANSFER_PLAN_CONFIG|方案id
IMP_NEW_TRANSFER_RULE|规则id
IMP_NEW_TRANSFER_SYNTAX_RECORD|迁移任务源语法记录实体类
IMP_NEW_TRANSFER_TASK|<p>标题: 数据迁移二期迁移任务实体</p>
IMP_NEW_TRANSFER_TASK_TYPE|迁移任务分类实体类
INS_ACCOUNT_PAY_FOR_SETTLE_INFO|新增住院医保结算主表
INS_BASE_DICT|新增医保价项字典
INS_BILL_SET|获取病人信息
INS_BILL_SET_HISTORY|获取病人信息
INS_DISEASE_EXAMINE_INFO|新增医保疾病审批信息记录表
INS_DISEASE_ITEM_DISTRIBUTE|新增医保特殊病种项目分发表
INS_EMP_INJURY_PATIENT_INFO|获取病人信息
INS_EXANTHE_RECORD_DETAIL|拼音码过滤插叙
INS_EXANTHE_RECORD_MASTER|拼音码过滤插叙
INS_EXCEPT_MATERIAL_COLLATE|获取门诊病人基本信息
INS_EXCEPT_MATERIAL_DICT|获取病人信息
INS_HIGH_MATERIAL_PACKING_DICT|医保费用上传打包配置
INS_HIS_DATE_INTERMEDIATE|获取病人信息
INS_HOSP_INSUR_DICT_CONTRAST|新增门诊订单缴费主表
INS_INP_ESTIMATE_SETTLE|新增住院担保记录表
INS_INP_REGISTER_INFO|新增住院担保记录表
INS_INP_SETTLE_DETAIL|新增住院医保结算细表
INS_INP_SETTLE_MASTER|新增住院医保结算主表
INS_INP_SETTLE_MASTER_EXTEND|新增住院医保结算主表扩展表
INS_INP_SETTLE_MASTER_SBJ|新增门诊订单缴费主表
INS_INP_SINGLE_DICT_DIAG|拼音码过滤插叙
INS_INP_SINGLE_DISEASE_DICT|拼音码过滤插叙
INS_INP_SINGLE_DISEASE_NOTIN_RECORD|拼音码过滤插叙
INS_INP_SINGLE_DISEASE_REG|翻译字段
INS_INP_TRADE_LOG|自动作废过期药品（药品库存）
INS_INP_TRADE_LOG_ARCHIVE|自动作废过期药品（药品库存）
INS_INP_TRANSFER_DETAIL|新增住院医保上传明细
INS_INSUR_DATE_INTERMEDIATE|获取病人信息
INS_METHOD_CONFIG|根据处方号获取定点医疗机构编号
INS_NUESOFT_SETTLE_MASTER|新增金保结算主表
INS_NUESOFT_SIGN_RECORD|新增金保签到记录表
INS_OLD_DATE_INTERMEDIATE|获取病人信息
INS_OUTP_REGISTER_INFO|获取医生挂号类别
INS_OUTP_REGISTER_INFO_GIVE_BIRTH|翻译字段
INS_OUTP_SETTLE_DETAIL|新增医保结算细表
INS_OUTP_SETTLE_EXTEND|获取病人信息
INS_OUTP_SETTLE_MASTER|新增门诊医保结算主表
INS_OUTP_SETTLE_MASTER_EXTEND|新增门诊医保结算主表扩展表
INS_OUTP_SETTLE_MASTER_SBJ|新增门诊医保结算主表
INS_OUTP_TRADE_LOG|自动作废过期药品（药品库存）
INS_OUTP_TRADE_LOG_ARCHIVE|自动作废过期药品（药品库存）
INS_OUTP_TRANSFER_DETAIL|新增门诊医保上传明细
INS_PATIENT_INSUR_INFO|通过病人id获取病人基本信息
INS_PROJECT_CONTROL_INFORMATIO|新增费别特殊收费项目分发
INS_RECONCILIA_TOTAL_RECORD|获取病人信息
INS_SPECIAL_DISEASE_ITEM_DIST|拼音码过滤插叙
INSUR_LIMIT_ERR_LOG|结果映射
MOB_INSPECT_STATUS|新增第三方预交金日志记录表
MOB_OUT_TRANS_RECORD|批量新增门诊医嘱拆分 oracle
MOB_PRESCRIBE_EXECUTE_RECORD|新增第三方预交金日志记录表
MSG_EVENT_DICT|获取医生的报错列表
MSG_SMS_CONFIG_GIVE_DICT|获取交易入参
MSG_SMS_SEND_CONTENT|获取交易入参
MSG_SMS_SEND_POOL|获取交易入参
MSG_SMS_TELE_DICT|获取交易入参
PAT_ADMISSION_NOTICE|通过病人id获取病人基本信息
PAT_ADMISSION_RECORD|自动作废过期药品（药品库存）
PAT_ALBUMIN_APPLY_INFO|保存申请单
PAT_ALLERGY_RECORD|翻译字段
PAT_BABY_RECORD|新增住院摆药池记录表
PAT_BASIC_INFO|获取窗口
PAT_BASIC_INFO_EXTEND|@author 方礼楷
PAT_BED_APPOINT_RECORD|更新床位字典
PAT_BED_CONFIG_DETAIL|新增床位导航相关表
PAT_BED_CONFIG_MASTER|新增床位导航相关表
PAT_BED_SYNTAX_CONFIG|新增床位导航语法配置表
PAT_BED_USE_RECORD|更新床位字典
PAT_BLOOD_BREAKS_DONORS|获取病人用血直勉报销主表报销申请单号
PAT_BLOOD_BREAKS_INFO_MASTER|获取病人用血直勉报销主表报销申请单号
PAT_BLOOD_DETAIL_RECORD|获取病人用血直勉报销主表报销申请单号
PAT_CLINIC_STATISTICS_HISTORY|获取医嘱药品附加费明细(每日固定费用除外)
PAT_DAYOPER_INP_INFO|新增择日病人住院信息
PAT_DAYOPER_INP_INFO_EXTEND|新增择日病人住院信息扩展表
PAT_DAYOPER_INP_INFO_TEMP|新增择日病人住院信息
PAT_EMERGENCY_SYSTEM_PATIENT_INFO|获取院前急救记录
PAT_FAMILY_HOSPITAL_BED_LOG|获取家庭病床病人信息
PAT_FAMILY_HOSPITAL_IMAGE_RECORD|获取家庭病床病人信息
PAT_FOODBN_DISEASE_SVL_DETL|新增基本字典信息
PAT_ID_CARD_INFO|新增病人身份证信息
PAT_IN_HOSPITAL|自动作废过期药品（药品库存）
PAT_IN_HOSPITAL_REFERRAL_RECORD|新增病人就诊记录
PAT_INFECTIOUS_REPORT_DETAIL|新增传染病登记细表
PAT_INFECTIOUS_REPORT_MASTER|新增传染病登记主表
PAT_INJURY_RECORD|新增工伤登记信息表
PAT_INP_PATIENT_SHARE_RECORD|新增住院共享病人记录
PAT_INP_PREPAY_NO_REMIND|新增病人住院预交金免预警记录
PAT_INP_PREPAY_REMIND|新增住院科室预交金预警字典
PAT_NARCO_CARD_DETAIL|新增麻醉卡登记细表记录表
PAT_NARCO_CARD_MASTER|新增麻醉卡登记主表记录表
PAT_OUT_DEPT_EVENT|查询病人出科待办事件表
PAT_OUTBREAK_CONTACT_HISTORY_LIST|通过病人id获取病人基本信息
PAT_OUTP_CHEMOTHERAPY_APPOINT|获取患者处方
PAT_OUTP_PATIENT_CLINIC_INFO|自动作废过期药品（药品库存）
PAT_OUTP_PATIENT_CLINIC_INFO_EXTEND|获取患者处方
PAT_OUTP_PATIENT_DIAGNOSIS|搜索条件：状态为新开或已缴费并且在有效期内 or 已缴费并且已过期的
PAT_PATIENT_DISEASE_REGISTER|新增病人病种登记表
PAT_PATIENT_VIP_RECORD|新增就诊卡信息记录表
PAT_PHYSICAL_HEALTH_DATA|新增门诊就诊信息
PAT_PRE_DISCHARGED_REGISTER|单据查询语法
PAT_PREPAY_REGISTER_INFO|查询预注册信息
PAT_PRIVACY_INFO|通过病人id获取病人基本信息
PAT_REFERRAL_RECORD|新增病人就诊记录
PAT_SHARE_PREPAY_RECORD|根据ID获取病人基本信息
PAT_SICK_DELAY_RESI_INFO|择日住院序列号
PAT_SUBSTITUTE_TAKE_DRUG|代开药登记信息新增
PAT_TARGETED_CARD_DETAIL|新增后台自动执行情况日志记录表
PAT_TARGETED_CARD_MASTER|新增后台自动执行情况日志记录表
PAT_TARGETED_DRUG_APPLY_RECORD|新增住院靶向药品申请记录
PAT_TEMPERATURE_REGISTER|通过病人id获取病人基本信息
PAT_TRANSFER_RECORD|查询预注册信息
PAT_TREATMENT_EXEC_RECORD|新增病人就诊记录
PAT_TREATMENT_MANAGE|新增病人治疗记录
PAT_TREATMENT_MANAGE_DIST|新增病人治疗记录
PAT_TREATMENT_PLAN_RECORD|新增病人治疗记录
PAT_TREATMENT_RECORD|新增病人治疗记录
PAT_TREATMENT_TASK_MASTER|新增病人治疗计划记录表
PAT_TREATMENT_TASK_RECORD|新增病人治疗计划记录表
PAT_TRIAGE_RECORD_MID|获取病人基本信息
PAT_WX_BINDING_RECORD|根据身份证号、体检号、病人id其一查询病人信息
PBCATCOL|分发日志翻译相关
PBCATTBL|分发日志翻译相关
POR_CA_CALLBACK_PARAM_STORE|插入医嘱
POR_HOSPITAL_DISTRICT_CONFIG|新增后台自动执行情况日志记录表
PRE_BED_APPOINT_RECORD|更新床位字典
PRES_ANTIB_APPLY_RECORD_DETAIL|新增功能结构
PRES_APPLY_RECORDS|自动作废过期药品（药品库存）
PRES_APPLY_RECORDS_POOL|自动作废过期药品（药品库存）
PRES_BABY_FEED_DETAIL|新增婴儿喂养细表
PRES_BACK_EXEC_LOG|新增后台自动执行情况日志记录表
PRES_BLOOD_APPLY_DETAIL|新增用血申请单主表
PRES_BLOOD_APPLY_MASTER|新增用血申请单主表
PRES_BLOOD_THIRD_RECORD|插入医嘱
PRES_BLOOD_TRANSFUSION_COLLECTION|分页查询采血信息列表
PRES_BREAST_MILK_RECORD|新增婴儿喂养细表
PRES_CA_MESSAGE|插入医嘱
PRES_CHECK_PRES_RECORD|获取处方审查记录序列号
PRES_CHN_COOKING_RRCORD|按床位位置（楼层）过滤摆药池
PRES_COMM_APPROVE_RECORD|通用审批记录号
PRES_DAY_OPERATION_DETAIL|新增日间手术细表
PRES_DAY_OPERATION_MASTER|新增日间手术主表
PRES_DRUG_ADDITION_DETAIL|新增住院医嘱药品附加费明细表
PRES_EXAM_ITEM_PART_DETAIL_TEMPLATE|新增检查模板部位明细
PRES_HIGH_DRY_MEDICINE_DETAIL|获取主键
PRES_HIGH_DRY_MEDICINE_MASTER|获取主键
PRES_INP_ANTIB_PURPOSE_INFO|门诊翻译
PRES_INP_CHECK_ELEC_DETAIL|单据查询语法
PRES_INP_CHECK_ELEC_RECORD|单据查询语法
PRES_INP_DRUG_PRINT_RECORD|新增住院用药打印记录
PRES_INP_DRUG_PRINT_RECORD_TIME|新增住院用药打印记录
PRES_INP_EXEC_RECORDS|新增住院医嘱执行记录表
PRES_INP_INSPE_ELEC_RECORD|单据查询语法
PRES_INP_PRES_NUTRITION_TRANSFER|获取医嘱转入记录
PRES_INP_PRES_PRINT_DETAIL|新增住院医嘱打印主表
PRES_INP_PRES_PRINT_MASTER|新增住院医嘱打印主表
PRES_INP_PRES_RECORD|删除诊疗绑定药品信息
PRES_INP_PRES_RECORD_EXTEND|门诊翻译
PRES_INP_PRES_RECORD_EXTEND_EXEC_NURSE|门诊翻译
PRES_INP_PRES_RECORD_HERB_ADD|删除诊疗绑定药品信息
PRES_INP_PRES_RECORD_RESET|门诊翻译
PRES_INP_PRES_RECORD_STOP|门诊翻译
PRES_INP_PRES_RECORD_TRANSFER|新增医嘱转抄记录表
PRES_INP_PRES_SUSPEND_RECORD|新增住院医嘱挂起记录表
PRES_INP_TEMPLATE_DETAIL|翻译字段
PRES_INP_TEMPLATE_MASTER|翻译字段
PRES_NARCO_RECORD|按床位位置（楼层）过滤摆药池
PRES_NARCO_RECORD_NEW|根据recordId查询
PRES_OPERATION_APPLY_DETAIL|根据手术申请单号查询手术记录
PRES_OPERATION_APPLY_MASTER|新增手术记录表
PRES_OPERATION_APPLY_RECORD|新增手术记录表
PRES_OPERATION_MATCH_RECORD|新增手术记录表
PRES_OPERATION_RECORD|单据查询语法
PRES_OUTP_ELEC_APPLY_ARCHIVE|新增门诊电子申请单存档记录表
PRES_OUTP_ELEC_APPLY_DETAIL|新增门诊电子申请单细表
PRES_OUTP_ELEC_APPLY_MASTER|新增门诊电子申请单
PRES_OUTP_OPERATION_RECORD|新增门诊订单缴费主表
PRES_OUTP_PRES_DETAIL|获取窗口
PRES_OUTP_PRES_MASTER|获取窗口
PRES_OUTP_PRES_RECORD_CHN|获取窗口
PRES_OUTP_PRES_TO_INP|新增门诊处方转住院医嘱表
PRES_OUTP_TEMPLATE_DETAIL|翻译字段
PRES_OUTP_TEMPLATE_MASTER|翻译字段
PRES_PATHOLOGY_APPLY_RECORD|门诊翻译
PRES_PATHOLOGY_SAMPLE_RECORD|新增病理申请单记录表
PRES_PATIENT_SKIN_RECORD|获取窗口
PRES_PREHOSPITAL_DRUG_RECORD|新增院前用药情况记录表
PRES_PRICE_ITEM_DETAIL|新增医嘱价项明细表
PRES_QR_CA_MESSAGE|更新签名二要素
PRES_REFUSE_DRUG_RECORD|新增拒绝用药情况表
PRES_REGISTER_INFO|单据查询语法
PRES_SCALE_RECORD|单据查询语法
PRES_TREATY_RELATION_DIAG_CONFIG|新增门诊处方模板主表
PRES_VTE_RECOFD|插入VTE结果记录
PRESCRIPTION|新增住院摆药池记录表
QR|自动作废过期药品（药品库存）
QUR_JOB_CONFIG|获取调度任务列表
SEL_BILL_PRINT_RECORD|新增第三方预交金日志记录表
SEL_TRADE_LOG|批量新增检查检验互认表 oracle
SET_BALANCE_SHARE_TRADE_DETAIL|新增门诊预交金记录表
SET_CONSUME_MASTER|新增结算中心消费流水主表
SET_ITEM_ORDER_DETAIL|新增结算中心项目订单细表
SET_ITEM_ORDER_MASTER|新增结算中心项目订单细表
SET_ORDER_REFUND_DETAIL|新增结算中心订单退费细表
SET_ORDER_REFUND_MASTER|新增结算中心订单退费主表
SET_PAY_ORDER_RECORD|新增结算中心支付订单记录表
SET_PAY_ORDER_RECORD_DETAIL|翻译字段
SET_SETTLE_ORDER_DETAIL|新增结算中心结算订单细表
SET_SETTLE_ORDER_MASTER|新增第三方支付交易表
SET_WALLET_ACCOUNT|新增就诊卡信息记录表
SET_WALLET_TRADE_RECORD|新增门诊结账主表
SET_WALLET_TRADE_RECORD_OLD|新增第三方预交金日志记录表
TMP_NUM|插入单条记录
V_APP_INP_APPLY|新增科室诊疗与材料对照表
V_APP_INP_APPLY_DETAIL|新增高值耗材消费表
V_APP_OUTP_APPLY|新增科室诊疗与材料对照表
V_APP_OUTP_APPLY_DETAIL|新增单据细表
V_APPLY_LARGE_INFUSION_DELIVERY_DETAIL_INFO|新增溶剂汇总发药主表
V_APPLY_LARGE_INFUSION_DELIVERY_INFO|新增溶剂汇总发药主表
V_APPLY_SHEET_UNION|新增病理申请单记录表
V_BT_KF_SPD_FZZYY_HIGH|新增高值耗材消费表
V_BT_KF_SPD_FZZYY_LOW|新增高值耗材消费表
V_CHRONIC_PATIENT_CLINIC_INFO|自动作废过期药品（药品库存）
V_DRUG_MATERIAL_PROPERTY|新增药品账页表
V_HIP_CHECKAPPINFOQUERY|根据单据号获取住院单据视图信息
V_HIP_EXAMAPPINFOQUERY|根据单据号获取住院单据视图信息
V_HIP_INSPE_APPLY_SHEET|检验,根据单据号和门诊住院标志
V_HIP_PATHOLOGYAPPINFOQUERY|根据单据号获取住院单据视图信息
V_HX_INVOICE_DOWNLOAD|新增住院结账发票费用明细表
V_INP_CHARGE_TRAC_CNT_INFO|新增住院订单缴费细表
V_INP_INSUR_LIMIT_TEXT|新增医保限制字典表
V_INP_LAY_DRUG|批量插入药品配送记录细表
V_INP_PREPAY_RECORD|翻译字段
V_INS_INP_TRADE_LOG|新增金保结算主表
V_INS_OUTP_TRADE_LOG|翻译字段
V_INSUR_CLEARING|获取病人信息
V_INSUR_SETTLE_LIST_AUDIT|获取病人信息
V_INSUR_SETTLEMENT_RECORD_BLOODTRANSFUSION|获取病人信息
V_INSUR_SETTLEMENT_RECORD_CHRONICDISEASE|获取病人信息
V_INSUR_SETTLEMENT_RECORD_DIAGNOSIS|获取病人信息
V_INSUR_SETTLEMENT_RECORD_INTENSIVECARE|获取病人信息
V_INSUR_SETTLEMENT_RECORD_MASTER|获取病人信息
V_INSUR_SETTLEMENT_RECORD_OPERATION|获取病人信息
V_ITEM_LOCATION_INFO|新增第三方预交金日志记录表
V_KF_SPD_FZZYY_HIGH|新增高值耗材消费表
V_KF_SPD_FZZYY_LOW|新增高值耗材消费表
V_KF_SPD_XMGYCX|新增高值耗材消费表
V_LIS_PREOP_RESULTS|新增手术申请主表
V_OUTP_AUTO_ACCEPT|获取窗口
V_OUTP_CHARGE_RETURN_INFO|新增门诊预交金记录表
V_OUTP_INSUR_LIMIT_TEXT|新增医保限制字典表
V_OUTP_LAY_AION_HIS_XC|获取窗口
V_OUTP_LAY_DRUG|获取窗口
V_OUTP_ORDER_CHARGE_DETAIL|新增项
V_OUTP_ORDER_CHARGE_DETAIL_ZYD|新增第三方预交金日志记录表
V_OUTP_SEND_DRUG|获取窗口
V_PAT_BASIC_INFO|批量新增门诊医嘱拆分 oracle
V_PATIENT_CLINIC|获取医嘱药品附加费明细(每日固定费用除外)
V_PATIENT_CLINIC_LAST_YEAR|获取医嘱药品附加费明细(每日固定费用除外)
V_PRES_PREOP_RESULTS|新增手术申请主表
V_REGISTER_EVENT_INFO|获取交易入参
V_SET_WALLET_TRADE_RECORD|新增结算中心钱包账户表
V_SKIN_TEST_RECORDS|搜索条件：状态为新开或已缴费并且在有效期内 or 已缴费并且已过期的
V_SKIN_TEST_RECORDS_CHEACK|搜索条件：状态为新开或已缴费并且在有效期内 or 已缴费并且已过期的
V_SPD_KF_FQEY_HIGH|新增高值耗材消费表
V_SPD_KF_FQEY_LOW|新增高值耗材消费表
V_SPD_TF_FQEY_HIGH|新增高值耗材消费表
V_SPD_TF_FQEY_LOW|新增高值耗材消费表
V_STAFF_SCHEDULE_AUDIT|新增后台自动执行情况日志记录表
V_TF_SPD_FZZYY_HIGH|新增高值耗材消费表
V_TF_SPD_FZZYY_LOW|新增高值耗材消费表
V_TF_SPD_XMGYCX|新增高值耗材消费表
V_YANGGUANG_GET_SUPPLIER|新增药品采购计划细表
V_ZOESOFT_TAB_COLUMN|新增基本字典信息
YG_PATIENT_MR|通过病人id获取病人基本信息
ZEIS_TRI_ASSESS_SCORE_RECORD|获取医生挂号类别
ZEIS_TRI_BODY_SIGN_RECORD|通过病人id获取病人基本信息
ZEMR_PATIENT_CASE_DIAG|新增手术记录表
ZOEAPPLY|根据身份证号、体检号、病人id其一查询病人信息
