ACT_FLOW_ITEM_DATA|新增用血申请单主表
CHA_OUTP_CHARGE_TO_INP|新增门诊费用明细转住院表
CHA_OUTP_CONSUME_DETAIL|新增门诊消费流水主表
CHA_OUTP_CONSUME_MASTER|新增门诊消费流水主表
CHA_OUTP_GUARANTEE_RECORD|新增门诊担保记录表
CHA_OUTP_ORDERS_DETAIL|新增门诊订单缴费细表
CHA_OUTP_PREPAY_ACCT_DETL|新增门诊预交金账户余额细表
CHA_OUTP_PREPAY_ACCT_MAST|新增就诊卡信息记录表
CHA_OUTP_PREPAY_RECORD|新增门诊结账主表
CHA_OUTP_RATE_CONVERT_DETAIL|批量新增门诊费别转换细表 oracle
CHA_OUTP_RATE_CONVERT_MASTER|新增门诊费别转换主表
CHA_OUTP_SETTLE_DETAIL|新增门诊结算细表
CHA_OUTP_SETTLE_MASTER|新增门诊结账主表
CHA_OVERDRAFT_FLOW|根据流程唯一ID查询费用透支申请流程表
CHA_PATIENT_BLOOD_USAGE_PATIENT|翻译字段
CHA_PAY_ORDER_DETAIL|新增支付订单细表
CHA_PAY_ORDER_MASTER|新增支付订单细表
CHA_PAY_RECHARGE_RECORD|新增支付平台预交金充值记录
CHA_POS_SIGN_INRECORD|新增POS机数据维护管理
CHA_REFUND_OTHER_APPLY_DETAIL|获取退货主表
CHA_REFUND_OTHER_APPLY_MASTER|获取退货主表
CHA_REGION_PREPAY_TRADE_LOG|<p>标题: 区域预交金交易日志表实体</p>
CHA_SETTLE_ORDER_MASTER|新增项
CHA_SETTLE_ORDER_RECORD|新增支付订单细表
CHA_SPECIAL_DERATE_RECORD|插入一条特殊减免记录
CHA_SPORADIC_CHARGE_CLASS_DETAIL|新增零星收费记录主表
CHA_SPORADIC_CHARGE_INVOICE|新增零星收费记录主表
CHA_SPORADIC_CHARGE_MASTER|新增零星收费记录主表
CHA_SPORADIC_CHARGE_MODE_DETAIL|新增零星收费记录主表
CHA_STAFF_PREPAY_DETAIL|新增职工卡批量充值细表
CHA_UNIFIED_PAY_ORG_CONFIG|门诊获取药品数据
CHA_UNIFIED_PAY_TRADE_LOG|新增第三方预交金日志记录表
CHA_UNIFIED_PAY_TRADE_RECORD|新增支付订单细表
CHA_WALLET_ACCOUNT|新增钱包账户
CHA_WALLET_SHARE_TRADE_RECORD|新增第三方支付交易表
CHA_WALLET_TRADE_RECORD|新增钱包账户
CLINIC_MAJOR_SEED_ITEM_CONFIG|新增医疗服务字典
CLINIC_RELATE_ITEM_CONFIG|获取诊疗项目关联项目
CLN_BRANCH_PATH_USED_RECORD|新增临床路径分支使用路径记录
CLN_CHANGE_REASON_DICT|新增临床路径变更原因字典
CLN_CHANGE_TYPE_DICT|新增临床路径变更原因字典
CLN_CLASS_DICT|新增临床路径类别字典
CLN_DISEASE_DICT|查询临床路径变更原因字典
CLN_DRUG_SHARE_DIST|新增临床路径方案基本信息
CLN_EXMP_VARIATION_ITEM|翻译字段
CLN_NO_ENTER_PATH_RECORD|新增临床路径未入路径病人
CLN_PATH_SINGLE_DISEASE_CONFIG|新增临床路径与单病种对照表
CLN_PRES_PACK_SCHEME_PATH_DIST|新增临床路径医嘱包分发表
CLN_PRES_SCHEME_DICT|新增临床路径医嘱方案字典
CLN_PRES_SCHEME_ITEM_DIST|新增临床路径医嘱方案字典
CLN_PRES_SCHEME_PATH_DIST|新增临床路径医嘱方案字典
CLN_SCHEME_BASIC_INFO|新增临床路径分支使用路径记录
CLN_SCHEME_DEPT_DIST|查询临床路径变更原因字典
CLN_SCHEME_DIAG_DIST|查询临床路径变更原因字典
CLN_SCHEME_FLOW|新增临床路径方案流程
CLN_SCHEME_PRES_INFO|翻译字段
CLN_SCHEME_PRES_PACK_DETAIL|新增临床路径医嘱包细表
CLN_SCHEME_PRES_PACK_MASTER|新增临床路径医嘱包主表
CLN_SCHEME_PRES_REPLACE_DICT|翻译字段
CLN_SCHEME_SCHEDULE|新增临床路径方案基本信息
CLN_SCHEME_STD_TXT_DICT|新增临床路径方案标准文本字典
CLN_TXT_CONTENT_DICT|新增临床路径文本内容字典
CLN_USED_CHANGE_RECORD|新增临床路径方案标准文本字典
CLN_USED_EVALUATION|新增临床路径使用评估表
CLN_USED_PRES_RECORD|翻译字段
CLN_USED_RECORD|单据查询语法
CLN_USED_SCHD_RECORD|新增临床路径方案标准文本字典
CLN_USED_STD_TXT_RECORD|新增临床路径方案标准文本字典
CM_MENU_GROUP|新建角色
CM_ROLE_MENU|新建角色
COM_ADDITIONAL_APPLY_EXEC_DEPT|新增诊疗与收费项目对照表
COM_ADMINIS_DEPT_CONFIG|分页查询员工字典表列表
COM_APPLY_EXEC_DEPT_CONFIG|根据开单科室id，执行科室，科目类别获取已分发科室
COM_BED_LEVEL_CHARGE_CONFIG|新增床位等级字典
COM_BILL_APPLY_EXEC_DEPT|新增开单科室向执行科室分发表
COM_BILL_EXEC_DEPT_CONFIG|单据查询语法
COM_BILL_PRINT_CONFIG|新增住院用药打印条件配置主表
COM_BILL_PRINT_DETAIL|新增单据执行记录表
COM_BUSINESS_PRIV|新建角色
COM_BUSINESS_PRIV_CLASS|新建角色
COM_CARD_BASIC_INFO|<p>标题: 病人就诊卡基本信息</p>
COM_CARD_CHANGE_MONEY|新增就诊卡维护记录表
COM_CARD_DEPOSIT_RECORD|新增门诊结账主表
COM_CARD_MAINTAIN_RECORD|新增就诊卡信息记录表
COM_CENTER_PRINT_LOG|<p>标题: 中心打印记录日志实体</p>
COM_CENTER_PRINT_SETTING|<p>标题: 中心打印设置实体</p>
COM_CENTER_PRINT_STORAGE|<p>标题: 中心打印记本地打印机存储</p>
COM_CENTER_PRINT_TYPE_CONFIG|<p>标题: 中心打印类型配置实体</p>
COM_CHRONIC_DISEASE|<p>标题: 慢性病一体化管实体类</p>
COM_CHRONIC_DISEASE_CONTRAST_DRUG|<p>标题: 慢病药品字典关联院内药品代码</p>
COM_CLINIC_APPLY_DEPT_CONFIG|新增诊疗项目开单科室分发
